GeneID,log2 FC,log10 p-value
AP000640.1,1.730903126,-1.570249741
AP000692.1,2.684865373,-1.620157899
AP000763.3,2.081349293,-1.976685504
AP000769.1,1.205432955,-1.324779083
AP000845.1,1.998070286,-1.335474934
AP000873.1,1.913086582,-1.728705077
AP000926.2,1.207859645,-2.183142299
AP000977.1,1.690145783,-2.756068443
AP001273.1,2.000874439,-2.061908464
AP001453.3,1.174370906,-1.641882302
AP001469.3,1.703383812,-3.817063318
AP002381.2,4.981812709,-2.109559977
AP002907.1,4.317315832,-1.514224965
AP003108.2,1.55851233,-3.167766086
AP006621.2,2.339942228,-1.732708225
APAF1,1.474820554,-1.79436735
APOBEC3D,1.509117183,-2.497986929
APOL2,1.193786267,-1.46204547
ARAP3,2.647246788,-1.401983272
ARFIP1,1.711267609,-1.640261644
ARHGEF2-AS2,2.763615169,-2.715361064
ARMT1,1.437386628,-3.429082152
ARRDC3,1.719187386,-1.993406659
ARSG,1.162333497,-1.687743693
ATE1-AS1,1.884564133,-1.545495141
ATG16L2,1.92718801,-1.624892101
ATP2A1,1.121817524,-2.038967925
ATP7A,1.370654712,-2.491508887
AVIL,3.848756166,-1.311679403
B3GALT2,2.493743493,-1.7253536
BACE1-AS,1.289724187,-2.432930903
BACH1-IT1,1.328820933,-1.616838842
BAG6,1.332590149,-1.953692814
BAZ2B,1.39042749,-1.648702996
BBOF1,1.25620817,-1.492939011
BBS1,1.636452777,-1.726958465
BBS10,2.40955396,-2.258195241
BBS12,1.216801416,-1.951336381
BCDIN3D,1.10956401,-5.214837188
BCL2L1-AS1,1.571736215,-1.308504599
BCL6,1.429954847,-1.75100856
BEND7,2.802734486,-5.091494761
BEST1,2.547704987,-1.984736223
BOD1L1,1.054153945,-1.623924147
BORCS8,1.276601604,-3.002977202
BRCA1,1.685264101,-1.704151014
BRCA1P1,2.092362526,-2.175921917
BRD8,1.098758244,-3.908510703
BTBD10,1.26258759,-3.702888394
BTBD6P1,2.512498702,-3.116406512
BTLA,1.238833675,-2.165650045
BX640514.2,2.161611652,-2.695957353
C11orf54,1.411949941,-3.368182423
C11orf65,1.665987684,-3.594761835
C12orf60,1.813589816,-2.041071264
C15orf40,1.0585871,-4.028604177
C16orf54,1.43101321,-1.883658924
C17orf80,1.165227709,-2.279388151
C18orf32,1.275865871,-1.475628257
C18orf54,1.472938031,-1.743331793
C1orf220,2.010496822,-1.330123416
C5AR2,2.879271519,-1.345928195
C5orf34,1.340960292,-1.638643669
C5orf51,1.161769432,-2.817602554
C9orf139,1.742665653,-1.569781808
C9orf40,1.625968458,-1.33043741
C9orf64,1.411575227,-2.81207779
CA15P1,2.770361583,-5.931787097
CACNA1E,3.840125502,-1.605041866
CACNG8,2.608674096,-1.309572555
CALML4,2.559273941,-1.376484533
CAMTA1-DT,1.767594833,-3.141022647
CAPN10-DT,2.00969512,-1.860073917
CARD8,1.584114106,-2.131401788
CARD8-AS1,1.535286978,-3.216516886
CAT,1.610227797,-2.02114894
CCDC121,2.727595043,-1.815138885
CCDC125,2.14684665,-1.724677807
CCDC126,1.104468877,-2.130175363
CCDC142,1.209940883,-1.908347435
CCDC170,1.222309958,-2.968275655
CCDC62,1.63483685,-3.351957776
CCR5,1.259329925,-2.906315283
CD200R1,1.411957514,-1.766645886
CD274,1.198779458,-3.384106946
CD2BP2-DT,2.364153652,-1.552974796
CD46,1.719688152,-1.940543726
CDH26,1.006419441,-1.501078819
CDKN2B,1.316422163,-1.345577313
CEACAM1,3.18600851,-1.876837462
CEACAM3,4.431266551,-1.367166574
CEBPE,2.473606749,-2.958567895
CENPBD1,1.041052172,-1.440707498
CEP295NL,2.082361532,-2.570795011
CEP63,1.713423218,-1.344514958
CFAP58,3.012145826,-1.35144217
CHRNA10,1.466231104,-2.073610925
CHTF8,1.465451502,-1.568367535
CISH,1.530120445,-5.282482246
CKLF,2.047144936,-2.730924443
CLC,2.274360416,-1.365138251
CLDN12,1.594459165,-1.830563549
CNIH3,1.434790263,-4.724114433
CNR2,1.213886991,-1.920746433
CNTNAP3,4.439353587,-2.692892255
COL7A1,1.218167502,-1.541675412
CR786580.1,2.27559986,-1.748618046
CREB5,2.298507256,-1.363429322
CRLF3,1.115457,-2.574619262
CROCCP3,1.07834499,-2.822688426
CRTAM,1.202373815,-2.906216102
CSAD,1.07084828,-2.265731772
CSF1,1.878929662,-1.865724072
CSF3R,2.462990471,-1.366508865
CX3CR1,1.703249366,-1.542124001
CYP4F12,3.280848944,-4.705802985
CYP4F3,5.014461543,-1.442309496
DAPK2,3.379326583,-1.676706587
DBN1,1.049279825,-2.000312518
DCAF12,2.230967625,-1.324133826
DDIAS,1.76578385,-3.137988977
DENND2D,1.09762489,-2.513974776
DEPDC7,1.588260199,-2.401892614
DHDDS-AS1,1.134409347,-1.665496287
DHFR2,1.411852167,-2.606290983
DHTKD1,1.159794202,-1.455990092
DHX34,2.044643967,-1.390287139
DLEU2,1.566562187,-5.238743053
DMTN,1.310154388,-1.356569195
DNAJB4,1.067096296,-1.554921224
DNAJC3-DT,2.721178611,-1.881378896
DNASE1L2,1.827275776,-1.31713652
DOCK4,2.283877284,-1.320651895
DOCK5,1.865946281,-1.922591062
DOCK8-AS1,1.529998157,-3.628920581
DPEP2,1.418880496,-2.332135505
