GeneID;log2 FC;log10 p-value
AC008522,1;1,012595254;-0,737806145
AC008537,3;-0,737458626;-0,622477797
AC008555,1;0,614897293;-0,583129585
AC008555,4;0,044973324;-0,09024461
AC008555,6;0,098994209;-0,099025272
AC008569,1;0,124242717;-0,095962276
AC008569,2;0,167634193;-0,306107562
AC008608,1;1,035137823;-0,767713761
AC008608,2;-1,148727961;-0,507737519
AC008610,1;-0,04428367;-0,045030419
AC008622,2;-0,07465835;-0,058677396
AC008635,1;-0,594382442;-0,215738189
AC008676,1;2,271158766;-2,142001768
AC008687,4;-0,564216232;-0,360762337
AC008691,1;-1,168753278;-0,332924151
AC008694,2;0,619727919;-0,402853263
AC008735,1;-0,475835852;-0,538999133
AC008736,1;0,293110547;-0,56543445
AC008737,1;-0,221223496;-0,172715299
AC008738,5;-0,278860107;-0,233592765
AC008750,1;-1,221020821;-1,521982041
AC008750,4;0,439508408;-0,460891707
AC008750,6;-3,886242659;-1,516969982
AC008750,7;-0,784935176;-0,989464564
AC008752,3;-0,379734468;-0,288683499
AC008753,1;0,034579252;-0,013083982
AC008760,1;-0,130402696;-0,560583719
AC008763,1;-0,299523732;-0,793219073
AC008764,6;0,229631738;-0,410019245
AC008764,8;-0,1779446;-0,602342493
AC008764,9;-0,068121789;-0,128005003
AC008770,3;-0,187714183;-0,309385764
AC008771,1;-0,571403108;-0,411839679
AC008870,2;0,214219321;-0,616484219
AC008875,1;-0,870080734;-0,580409617
AC008875,2;0,341253177;-0,449660121
AC008875,3;-0,149799209;-0,478403447
AC008892,1;1,342920221;-1,027409484
AC008894,2;-0,002231387;-0,008105079
AC008894,3;0,256071805;-1,174710648
AC008895,1;0,009952895;-0,137690937
AC008906,1;-0,441820061;-0,589953828
AC008906,2;1,011191282;-0,900885804
AC008915,2;-1,018689073;-0,881845673
AC008945,1;0,233781198;-0,449115005
AC008957,1;-1,21562794;-0,747939221
AC008964,1;0,533785673;-1,858121896
AC008966,1;-0,947873622;-1,068140724
AC008969,1;-0,025687582;-0,060889374
AC009005,1;-0,957910128;-1,486199223
AC009041,1;-0,057301347;-0,047493819
AC009041,3;1,020008945;-1,446986841
AC009053,1;-0,567306911;-2,925956968
AC009061,2;-0,081528346;-0,183057155
AC009065,4;0,154800786;-0,795800131
AC009065,5;0,172542209;-0,308868236
AC009065,8;0,506959989;-0,376959463
AC009086,2;-0,819884065;-0,731281517
AC009088,1;-0,564532441;-1,028644489
AC009090,1;-0,804496092;-0,31402144
AC009090,4;0,303239021;-0,431200431
AC009090,5;-0,287725302;-0,396583873
AC009093,10;-0,865119522;-0,625895743
AC009093,2;-1,407826164;-0,802158887
AC009093,6;0,529022499;-0,645888197
AC009093,7;-1,042425059;-1,476641312
AC009093,8;-0,163055215;-0,291913812
AC009107,2;0,265938202;-0,162875749
AC009108,3;1,474106213;-1,974158063
AC009113,1;0,181438781;-0,239693298
AC009118,2;-1,277261332;-0,378735536
AC009119,1;0,075071881;-0,062253621
AC009120,1;-0,299320952;-0,475825372
AC009120,2;-0,064273306;-0,213256439
AC009120,5;-1,355484833;-2,237399146
AC009123,1;-2,571389107;-1,037557549
AC009126,1;0,23487016;-0,351029207
AC009133,1;-0,057369666;-0,0378385
AC009133,2;-1,498549993;-1,20549363
AC009133,3;0,128982783;-0,498263629
AC009136,2;-0,505640048;-1,259389795
AC009159,3;-1,135387116;-1,286509822
AC009163,7;0,056483562;-0,073477971
AC009185,1;-0,505810721;-1,245260651
AC009226,1;-1,46225856;-1,574507729
AC009228,1;2,153013144;-1,511759248
AC009237,14;0,247483962;-1,303874468
AC009242,1;-0,036016899;-0,056091175
AC009245,1;0,629816737;-0,539360776
AC009275,1;-1,395826895;-0,467469837
AC009283,1;0,038372874;-0,118126952
AC009303,1;-1,149875104;-0,506646122
AC009303,4;0,232994366;-0,28845408
AC009309,1;-0,536040366;-0,327413405
AC009318,1;1,073580668;-1,133653378
AC009318,2;0,199690332;-0,185101767
AC009318,4;1,37074224;-1,440835461
AC009403,1;0,286199305;-0,595336537
AC009404,1;-0,141464355;-0,521273434
AC009495,1;-1,109340763;-0,297213291
AC009495,2;-0,489549149;-0,186899453
AC009495,3;0,646417522;-2,86456629
AC009506,1;-0,430944966;-0,264175945
AC009533,1;0,539720959;-3,734619056
AC009570,1;-0,622160678;-0,271727838
AC009686,2;-0,77288204;-0,889346086
AC009690,1;-1,238719089;-1,026474256
AC009704,2;-0,243271151;-0,328442229
AC009754,1;-0,142265097;-0,065554366
AC009779,2;-0,06475607;-0,080544846
AC009779,3;-0,343365323;-0,271352579
AC009802,1;1,415077888;-0,940830368
AC009812,1;0,277636177;-0,432619142
AC009812,4;-0,520286824;-0,298639653
AC009831,1;0,515810601;-0,760388309
AC009831,3;-1,186429646;-0,334708986
AC009879,3;-1,69503316;-0,952162219
AC009948,1;0,494773058;-1,063561674
AC009948,2;0,216254604;-0,358392271
AC009950,1;-2,050626073;-0,973465226
AC009951,4;0,170363228;-0,13633351
AC009951,6;0,209651549;-0,142380754
