GeneID;log2 FC;log10 p-value
AC008026.1;-1,282081704;-1,179469331
AC008026.3;-0,871843649;-0,50520343
AC008033.3;0,566593336;-0,619046695
AC008035.1;-0,069028896;-0,039183601
AC008038.1;-1,513367831;-2,174445502
AC008074.2;0,538002233;-0,755058671
AC008079.1;1,147769014;-0,852557803
AC008083.3;0,50484637;-0,399679446
AC008083.4;-1,744919092;-0,997272097
AC008105.1;-0,348936729;-0,686041664
AC008105.2;0,880084317;-1,970797946
AC008115.3;-0,035148412;-0,03463162
AC008115.4;-0,546451191;-0,322483532
AC008119.1;-0,855198718;-0,474395393
AC008124.1;-0,011426349;-0,015818257
AC008269.1;0,28098426;-0,250815574
AC008280.2;-0,075793121;-0,07114321
AC008403.3;-0,62456061;-0,507784251
AC008429.4;-1,774911519;-1,113877382
AC008438.1;0,469177532;-0,516886227
AC008443.3;-1,090982673;-0,982417402
AC008443.4;0,439930959;-0,366510056
AC008443.7;0,361372241;-0,179174906
AC008467.1;0,43407215;-0,555176254
AC008494.3;0,01517923;-0,006706907
AC008498.1;-0,424675896;-0,164234701
AC008507.1;-0,565019662;-0,749579484
AC008522.1;-0,164107551;-0,074599327
AC008537.3;0,987929822;-0,790405343
AC008555.1;0,806363636;-0,471761156
AC008555.4;-0,563383048;-1,034607758
AC008555.6;0,713154109;-0,612977744
AC008569.1;-1,120421006;-0,522217249
AC008569.2;1,663904423;-1,716997264
AC008608.1;-0,019569414;-0,006313213
AC008608.2;-1,13223284;-0,759126896
AC008610.1;1,177856287;-0,949840921
AC008622.2;-0,026728485;-0,020043886
AC008635.1;1,52435665;-0,437916979
AC008676.1;-0,056246028;-0,029464587
AC008687.4;1,195383491;-0,642808248
AC008691.1;0,565083763;-0,179765711
AC008694.2;-3,574226716;-2,406804505
AC008735.1;0,863101623;-0,870366217
AC008736.1;-0,466313363;-0,565370163
AC008737.1;1,874269554;-0,967217827
AC008738.5;-0,307555624;-0,214172065
AC008750.1;0,340973712;-0,558140569
AC008750.4;0,993409196;-0,653203218
AC008750.6;1,44061684;-1,424226788
AC008750.7;1,455127419;-1,586766025
AC008752.3;1,066363367;-0,665507445
AC008753.1;-0,957993658;-0,588578052
AC008760.1;0,330909951;-0,708471305
AC008763.1;0,504786078;-0,987003495
AC008764.6;2,747432417;-1,533129179
AC008764.8;1,391537191;-2,269882644
AC008764.9;0,5656243;-0,967071602
AC008770.3;1,385518143;-1,596407485
AC008771.1;0,147504686;-0,095174191
AC008870.2;-0,992613426;-2,068094022
AC008875.1;1,806969162;-0,898657123
AC008875.2;-0,430598472;-0,592005203
AC008875.3;0,146903628;-0,393001794
AC008892.1;-1,47933286;-0,612814343
AC008894.2;0,074560152;-0,136803292
AC008894.3;-0,323029656;-0,418935485
AC008895.1;1,288487331;-1,40621392
AC008906.1;0,242529654;-0,260377798
AC008906.2;-1,121607619;-0,842514333
AC008915.2;-0,65063257;-0,523530528
AC008945.1;1,238575723;-1,432259148
AC008957.1;1,272851663;-0,781374594
AC008964.1;0,700131814;-1,151372102
AC008966.1;1,183037576;-1,194913081
AC008969.1;1,076241501;-2,029287358
AC009005.1;0,68056762;-1,566652154
AC009041.1;-0,239074871;-0,214074393
AC009041.3;-0,612439992;-0,534748229
AC009053.1;0,733783024;-2,502430524
AC009061.2;1,737184656;-2,336837361
AC009065.4;1,895623814;-3,64182537
AC009065.5;1,056335347;-1,133371906
AC009065.8;0,699239263;-0,326299025
AC009086.2;0,595032389;-0,561070579
AC009088.1;-0,137959669;-0,167420952
AC009090.1;0,750137164;-0,292700157
AC009090.4;0,449809481;-0,432791086
AC009090.5;0,879808106;-0,994128397
AC009093.10;1,705251914;-0,957317238
AC009093.2;1,764607659;-0,925432414
AC009093.6;-0,305917162;-0,259021484
AC009093.7;2,098322778;-2,680229543
AC009093.8;1,561323902;-1,763850217
AC009107.2;1,747230183;-0,611445932
AC009108.3;-0,665478512;-0,449752501
AC009113.1;0,882422802;-0,869792646
AC009118.2;-0,139982686;-0,056022592
AC009119.1;1,2843751;-0,806888852
AC009120.1;0,643964507;-0,930870161
AC009120.2;0,596906693;-1,584490276
AC009120.5;2,120899632;-4,133796187
AC009123.1;0,76219713;-0,502288355
AC009126.1;-0,735191222;-1,315866923
AC009133.1;-0,012401978;-0,007598262
AC009133.2;0,174486153;-0,178238301
AC009133.3;0,996301477;-2,162766719
AC009136.2;-0,183566123;-0,132020501
AC009159.3;1,159024866;-1,466172089
AC009163.7;1,893965358;-1,478246625
AC009185.1;0,414883911;-0,426659624
AC009226.1;1,335415041;-1,949667076
AC009228.1;-1,270049732;-0,779313274
AC009237.14;2,158399351;-3,130297561
AC009242.1;-1,18628205;-1,244669753
AC009245.1;-1,497110576;-1,062812678
AC009275.1;0,040313652;-0,015732201
AC009283.1;0,421805489;-0,736984756
AC009303.1;-0,060126341;-0,027724706
AC009303.4;-0,674618606;-0,651197766
AC009309.1;0,340853094;-0,203730409
AC009318.1;0,837425238;-0,52471961
AC009318.2;1,593532466;-0,860237584
AC009318.4;-0,273984159;-0,133695368
AC009403.1;0,78074298;-1,088328636
AC009404.1;0,412747191;-1,221537318
AC009495.1;0,343613593;-0,102360792
AC009495.2;0,212947829;-0,080580154
AC009495.3;0,386874318;-0,955353546
AC009506.1;2,971601523;-0,87278706
AC009533.1;-0,31026084;-0,236673697
AC009570.1;-0,91298948;-0,397605555
AC009686.2;0,35384261;-0,473752088
AC009690.1;0,567040593;-0,64779297
AC009704.2;-2,514964656;-1,130249679
AC009754.1;0,740868263;-0,298660157
AC009779.2;0,780305129;-0,84427182
AC009779.3;0,41871343;-0,314021411
AC009802.1;-1,591281636;-1,122581846
AC009812.1;-1,769259573;-3,457592483
AC009812.4;-1,677667932;-1,235058671
AC009831.1;-0,405563477;-0,59751107
AC009831.3;-2,054605715;-1,867700884
AC009879.3;0,63391662;-0,534436123
AC009948.1;1,416254382;-1,722855204
AC009948.2;-0,446079433;-0,447957792
AC009950.1;1,795976274;-0,988413121
AC009951.4;0,487268053;-0,310060247
AC009951.6;-1,236090272;-0,988159377
AC009961.1;0,539574321;-0,385633884
AC009961.3;0,894980674;-2,040830462
AC009962.1;-0,043854527;-0,025262836
AC009974.1;1,105633553;-0,495115461
AC009996.1;1,275063056;-1,419527301
AC010132.4;1,13224058;-1,005152331
AC010168.2;1,100968817;-2,444939215
AC010175.1;-0,22216344;-0,278031874
AC010186.2;-0,523610725;-0,884040033
AC010186.3;0,92163237;-1,422067375
AC010203.1;0,906610979;-1,207991595
AC010210.1;1,293419528;-2,112018153
AC010226.1;-0,603631791;-0,47248659
AC010245.2;-0,373477323;-0,736988154
AC010247.1;0,192912039;-0,195299666
AC010247.2;-0,568377608;-1,070792315
AC010326.4;0,749482453;-1,298076394
AC010327.6;0,41804277;-1,162448146
AC010327.7;1,113454676;-0,562531977
AC010327.8;-1,596514266;-1,244382376
AC010331.1;1,114406639;-0,75899741
AC010332.3;0,593091226;-0,47363375
AC010343.1;-1,177492183;-1,407287653
AC010359.3;3,002688408;-1,569598223
AC010422.3;1,583031467;-0,416692898
AC010422.4;1,986196406;-1,792742262
AC010422.8;-0,166930757;-0,714059347
AC010463.3;0,298686681;-0,195693365
AC010491.1;2,976051347;-1,084840863
AC010501.2;-0,580616636;-0,238977819
AC010503.4;-1,212670897;-0,92924726
AC010530.1;2,228981488;-0,758519553
AC010531.6;0,419660604;-0,205510249
AC010536.1;-0,229436251;-0,228461768
AC010536.2;0,617392449;-0,764929065
AC010542.3;2,061918158;-0,355019371
AC010615.1;0,355194593;-0,260956405
AC010618.3;0,336069517;-0,50960391
AC010619.2;1,617275682;-5,526857791
AC010623.1;-0,323753781;-0,114154737
AC010624.3;0,429090432;-0,529744537
AC010642.2;-1,062760449;-1,671157955
AC010654.1;0,478647938;-0,438263182
AC010680.2;1,374537314;-0,97900571
AC010680.3;1,299823112;-1,524041067
AC010680.4;0,350706564;-0,442168234
AC010680.5;0,873273405;-0,243840468
AC010754.1;0,550881459;-0,153595657
AC010761.1;-2,632693824;-1,288015196
AC010809.2;-0,412286999;-0,347383059
AC010883.1;-0,051294144;-0,073895664
AC010883.2;1,221739463;-0,626367388
AC010883.3;1,908737629;-0,975726114
AC010894.4;2,82414515;-1,076445204
AC010896.1;0,274055628;-0,260217159
AC010904.2;-0,29685284;-0,165818953
AC010969.2;-0,640693008;-0,606432662
AC010973.2;-0,023111807;-0,042449054
AC011322.1;1,291341352;-0,93475624
AC011330.2;0,478397592;-0,210530633
AC011337.1;-0,074813375;-0,223955116
