GeneID,log2 FC,log10 p-value
AC079331.2,-1.127887574,-1.346999097
AC079610.1,-2.728270186,-2.294648693
AC084824.5,-1.141159804,-1.940617717
AC090739.1,-1.578932123,-1.342253938
AC091045.1,-3.52824811,-2.494523998
AC091181.1,-1.049836204,-1.341878168
AC092111.1,-1.187746684,-1.559730592
AC092117.1,-1.054969974,-1.650573485
AC092127.1,-1.8032989,-2.13650532
AC092490.1,-4.43778453,-2.634597625
AC092653.2,-1.196853156,-1.894523597
AC093462.1,-1.278160861,-1.436298045
AC093503.2,-3.269630294,-2.529670381
AC093827.4,-1.235999196,-1.392117446
AC096887.2,-2.557439822,-1.324485664
AC097534.1,-2.396551928,-1.346138388
AC104971.3,-2.165434968,-1.508836708
AC106782.4,-2.260669779,-1.791054648
AC107983.1,-1.954208036,-1.477516437
AC108479.1,-2.07032009,-1.429863185
AC108519.1,-1.863383121,-1.355590669
AC112484.1,-1.842873707,-1.399155881
AC116158.1,-1.090602549,-1.74197077
AC119403.1,-1.842721706,-1.909932363
AC132938.3,-1.099650232,-1.315956122
AC144530.1,-1.178341468,-1.818670068
AC245049.1,-1.184378528,-2.281542463
ADGRA3,-2.304496816,-1.505453972
ADORA3,-1.404634751,-1.899796178
AEBP1,-1.284001504,-2.195363846
AF111167.2,-1.18453846,-2.252355289
AIRE,-1.428671929,-1.667248142
AJ009632.2,-1.428874455,-1.330293817
AKR1C3,-1.418567667,-1.396922533
AL021407.2,-1.184431841,-4.889213432
AL022316.1,-3.10588278,-1.539996425
AL031123.1,-1.006362586,-1.374812292
AL035696.4,-1.295590503,-1.492405597
AL078581.1,-1.6209794,-1.376847009
AL078621.1,-1.02633646,-1.509426275
AL080276.2,-1.035193183,-1.353273087
AL109627.1,-1.29959578,-1.833818644
AL117344.1,-2.070406637,-1.429765022
AL133523.1,-1.29224012,-1.760204601
AL162274.2,-1.176106813,-1.338772447
AL355073.1,-1.655542216,-1.976144318
AL355297.3,-1.621215733,-1.590195548
AL359504.1,-2.478927794,-1.467344722
AL359644.1,-3.178582365,-1.370714684
AL359962.1,-1.463187204,-1.714452027
AL391121.1,-1.224914072,-1.461492996
AL450326.2,-1.475544186,-1.427848194
AL499604.1,-1.070579715,-1.750325971
AL513190.1,-1.034612874,-2.280424262
AL590326.1,-1.347136391,-2.262119318
ALOX12P2,-1.50189083,-1.820558256
ALOX15,-2.51900479,-2.397172994
AMDHD1,-1.697398984,-1.537819595
ANGPTL6,-1.298416863,-1.760133169
ANKRD31,-2.621215733,-1.77174105
ASAP2,-1.488795237,-1.517042937
