GeneID;PAT3 - female;CTRL3 -female;log2 FC;;;
AC083862.2;97897;14344;2,770817257;;;
AC107959.3;93928;13770;2,770026731;;;
AC007278.2;78053;11475;2,76595993;;;
DGAT2;2130000;313837;2,762766076;;;
HERC2P3;124355;18360;2,759826552;;;
CSF3R;87100000;13000000;2,744161096;;;
HORMAD1;60855;9180;2,728809745;;;
AL021707.6;212991;32130;2,728799584;;;
AC006942.1;30427;4590;2,728786037;;;
AL031432.4;30427;4590;2,728786037;;;
C10orf105;424660;64259;2,724337788;;;
ITGB1P1;22490;3442;2,707964659;;;
LIMK2;3700000;566283;2,707930145;;;
AC007342.3;711735;109011;2,706866462;;;
FCHO2;374388;57374;2,706065186;;;
CR786580.1;37042;5737;2,690793573;;;
AL133517.1;18521;2869;2,690542123;;;
APOBEC3A;2800000;433748;2,690497817;;;
CLEC18A;51594;8032;2,683372126;;;
ACSL1;13100000;2040000;2,682925754;;;
MBOAT2;526525;82045;2,682014713;;;
ALAS2;1680000;263921;2,670283178;;;
AC073342.1;25136;4016;2,645923911;;;
LINC01191;25136;4016;2,645923911;;;
RPL21P123;25136;4016;2,645923911;;;
AC007278.1;343961;55079;2,642670723;;;
PADI2;2680000;432027;2,633039618;;;
SLC26A8;170658;27540;2,631507581;;;
LINC01270;248710;40162;2,630561496;;;
LINC02207;67469;10901;2,629764293;;;
AC127070.4;78053;12622;2,628513555;;;
LINC01002;977643;158353;2,626163542;;;
AC016831.6;109803;17786;2,626103476;;;
AC010359.3;21167;3442;2,620497808;;;
AL353804.1;21167;3442;2,620497808;;;
FBXO39;21167;3442;2,620497808;;;
LINC01841;21167;3442;2,620497808;;;
PLAAT2;21167;3442;2,620497808;;;
SCARNA7;21167;3442;2,620497808;;;
AC020661.1;10583;1721;2,620429649;;;
AC073195.1;10583;1721;2,620429649;;;
DTNB-AS1;10583;1721;2,620429649;;;
FOXP1-IT1;10583;1721;2,620429649;;;
MIR3609;10583;1721;2,620429649;;;
MIR631;10583;1721;2,620429649;;;
RNU4-62P;10583;1721;2,620429649;;;
AL118508.3;63500;10327;2,620335381;;;
ERV3-1;814923;133108;2,614066467;;;
AC103858.3;280461;45899;2,611265541;;;
FCGR2A;14300000;2350000;2,605282485;;;
AC013394.1;38365;6311;2,603850226;;;
SNHG22;38365;6311;2,603850226;;;
AC106028.3;44980;7459;2,592229529;;;
BCL6;10100000;1680000;2,587822155;;;
AATK;1750000;293182;2,577486485;;;
F2RL1;601932;100978;2,575559507;;;
LINC02158;41011;6885;2,574482363;;;
AC025682.1;82021;13770;2,574464774;;;
AC108704.2;88636;14917;2,570935356;;;
GBP1P1;23813;4016;2,567918211;;;
TINCR;23813;4016;2,567918211;;;
NABP1;4730000;798648;2,566208496;;;
MX2;11900000;2010000;2,565694167;;;
OAS3;11100000;1880000;2,56175511;;;
ST20;306919;52210;2,555459896;;;
TMCC3;1010000;172122;2,552851879;;;
STX3;3870000;659803;2,552226324;;;
IL1RN;2540000;433748;2,549899486;;;
EPB42;87313;14917;2,549239052;;;
LINC01127;382326;65407;2,547286364;;;
LAMP3;133616;22950;2,541526717;;;
CASP1P2;70115;12049;2,540809703;;;
CASP5;149491;25818;2,533609479;;;
TMEM140;2520000;436617;2,528983525;;;
AC007773.1;6615;1147;2,527875765;;;
AC009065.8;6615;1147;2,527875765;;;
AC009090.4;6615;1147;2,527875765;;;
AC009228.1;6615;1147;2,527875765;;;
AC011444.1;6615;1147;2,527875765;;;
AC012511.1;6615;1147;2,527875765;;;
AC016596.2;6615;1147;2,527875765;;;
AC022113.1;6615;1147;2,527875765;;;
AC025162.2;6615;1147;2,527875765;;;
AC068790.3;6615;1147;2,527875765;;;
AC134407.2;6615;1147;2,527875765;;;
AC243967.2;6615;1147;2,527875765;;;
AL049836.1;6615;1147;2,527875765;;;
AL109923.1;6615;1147;2,527875765;;;
AL627171.1;6615;1147;2,527875765;;;
AMZ1;6615;1147;2,527875765;;;
APOA1;6615;1147;2,527875765;;;
CDH5;6615;1147;2,527875765;;;
CENPS;6615;1147;2,527875765;;;
CLEC20A;6615;1147;2,527875765;;;
E2F7;6615;1147;2,527875765;;;
HMGB3P4;6615;1147;2,527875765;;;
HPD;6615;1147;2,527875765;;;
KREMEN2;6615;1147;2,527875765;;;
LIX1L-AS1;6615;1147;2,527875765;;;
NID2;6615;1147;2,527875765;;;
NUS1P1;6615;1147;2,527875765;;;
PA2G4P4;6615;1147;2,527875765;;;
POLR2KP1;6615;1147;2,527875765;;;
PPIAL4H;6615;1147;2,527875765;;;
RNF222;6615;1147;2,527875765;;;
SIRPAP1;6615;1147;2,527875765;;;
U91328.3;6615;1147;2,527875765;;;
WBP1LP2;6615;1147;2,527875765;;;
ZCWPW2;6615;1147;2,527875765;;;
AC016583.1;19844;3442;2,52738386;;;
AC022217.3;19844;3442;2,52738386;;;
PGAM2;19844;3442;2,52738386;;;
PTP4A3;33073;5737;2,527285493;;;
ROPN1L;152137;26392;2,527198474;;;
OR2A1-AS1;26459;4590;2,527192478;;;
TMEM191B;52917;9180;2,527165215;;;
AC010531.6;13229;2295;2,527137951;;;
AC015971.1;13229;2295;2,527137951;;;
AC020763.4;13229;2295;2,527137951;;;
AC099811.5;13229;2295;2,527137951;;;
ADORA1;13229;2295;2,527137951;;;
HMGB1P3;13229;2295;2,527137951;;;
NTAN1P2;13229;2295;2,527137951;;;
RPL4P6;13229;2295;2,527137951;;;
VNN1;736870;128518;2,519439684;;;
CREB5;3760000;658655;2,51313777;;;
AC009495.3;62178;10901;2,511943726;;;
AC131009.4;62178;10901;2,511943726;;;
FHDC1;111126;19507;2,510132575;;;
IGLV3-1;855934;150320;2,509462585;;;
FRAT2;6990000;1230000;2,50663414;;;
AL117379.1;64823;11475;2,498011636;;;
AL355490.1;29104;5164;2,494656542;;;
MYBPC3;396878;70570;2,491568677;;;
UBE2C;51594;9180;2,490637242;;;
AVIL;399524;71144;2,489468175;;;
PPP1R14BP3;22490;4016;2,485452487;;;
PROC;22490;4016;2,485452487;;;
Z94721.1;44980;8032;2,485452487;;;
AC015871.8;67469;12049;2,485311363;;;
AC027682.7;38365;6885;2,478262195;;;
DOCK4;248710;44752;2,474440452;;;
LINC02649;124355;22376;2,474440452;;;
LRRC4;971028;174991;2,472232173;;;
AL078622.1;63500;11475;2,468262438;;;
KCNJ2-AS1;56886;10327;2,461652429;;;
SLC22A4;378357;68849;2,458240532;;;
SLPI;182564;33277;2,455805025;;;
ANKRD44-IT1;50271;9180;2,453160329;;;
TAFA2;160074;29261;2,451688018;;;
ALPK3;43657;8032;2,442381821;;;
