GeneID;log2 FC;Grupo
H2BC20P;2,416318961;Sangue
FAM118A;2,41369654;Sangue
MIR223HG;2,406741358;Sangue
AC079921.2;2,397985636;Sangue
AP000692.1;2,397985636;Sangue
GK;2,385436303;Sangue
AC097637.2;2,375183326;Sangue
KCNMA1;2,375183326;Sangue
AC010530.1;2,375122741;Sangue
AC027682.4;2,375122741;Sangue
AL078644.1;2,375122741;Sangue
AL355073.2;2,375122741;Sangue
ANKDD1B;2,375122741;Sangue
DDR2;2,375122741;Sangue
SNORD19;2,375122741;Sangue
TICRR;2,375122741;Sangue
USP32P2;2,375122741;Sangue
SLC45A4;2,366311419;Sangue
CMTM1;2,365153276;Sangue
ISL2;2,362833335;Sangue
AL353708.3;2,357310063;Sangue
APOBEC3B;2,356716547;Sangue
AC007032.1;2,352179748;Sangue
AHSP;2,352072352;Sangue
LINC01001;2,351347306;Sangue
TGFA;2,34870235;Sangue
HAL;2,346833201;Sangue
AL160272.1;2,346639036;Sangue
RNU7-40P;2,342849025;Sangue
RAB36;2,342748079;Sangue
AL355076.2;2,342597575;Sangue
MTCO2P11;2,342597575;Sangue
TRAJ27;2,342597575;Sangue
HOTAIRM1;2,341516894;Sangue
LGALSL;2,338293797;Sangue
AC092683.1;2,337741034;Sangue
LINC00671;2,337741034;Sangue
MBOAT7;2,337741034;Sangue
XCL1;2,325553233;Sangue
AC011815.2;2,320921797;Sangue
AC092135.3;2,320921797;Sangue
AL356417.3;2,320921797;Sangue
H2AC20;2,320921797;Sangue
ILDR1;2,320921797;Sangue
HLA-DPB1;2,319993323;Sangue
IL18RAP;2,317792193;Sangue
DENND3;2,311586151;Sangue
SIPA1L2;2,310003042;Sangue
AL391903.1;2,304871688;Sangue
MIR29B2CHG;2,301791861;Sangue
BASP1;2,301619291;Sangue
FAM8A1;2,29913623;Sangue
AC069528.2;2,298402065;Sangue
ALPK1;2,296520221;Sangue
TIGD3;2,294893408;Sangue
ZCCHC2;2,292056058;Sangue
CKLF;2,283258069;Sangue
AL138995.1;2,28319418;Sangue
BEST1;2,280339382;Sangue
MNDA;2,276951186;Sangue
IGLV5-45;2,269411567;Sangue
HSH2D;2,265800083;Sangue
TMEM154;2,262529172;Sangue
SIGLEC1;2,255670545;Sangue
XPC-AS1;2,248987918;Sangue
FPR1;2,245756414;Sangue
CYSTM1;2,244576994;Sangue
KAZN;2,240863025;Sangue
H2BC19P;2,236737175;Sangue
NEAT1;2,23468121;Sangue
ABTB1;2,230780207;Sangue
AL117335.1;2,230777474;Sangue
ARAP3;2,21734596;Sangue
AC002059.1;2,20594767;Sangue
AC004223.4;2,20594767;Sangue
AC008608.1;2,20594767;Sangue
AC025287.3;2,20594767;Sangue
AC025678.3;2,20594767;Sangue
AC026362.1;2,20594767;Sangue
AC027682.1;2,20594767;Sangue
AC061992.2;2,20594767;Sangue
AC067852.5;2,20594767;Sangue
AC068631.1;2,20594767;Sangue
AC073115.2;2,20594767;Sangue
AC079313.2;2,20594767;Sangue
AC084024.1;2,20594767;Sangue
AC087893.2;2,20594767;Sangue
AC091814.1;2,20594767;Sangue
AC092115.3;2,20594767;Sangue
AC105180.2;2,20594767;Sangue
AL008730.1;2,20594767;Sangue
AL031705.1;2,20594767;Sangue
AL645728.2;2,20594767;Sangue
BET1P1;2,20594767;Sangue
C1orf189;2,20594767;Sangue
CFAP20DC;2,20594767;Sangue
DAZAP2P1;2,20594767;Sangue
FAM171B;2,20594767;Sangue
LINC02576;2,20594767;Sangue
MIR616;2,20594767;Sangue
MTDHP3;2,20594767;Sangue
NIPAL1;2,20594767;Sangue
NSRP1P1;2,20594767;Sangue
PRELID1P1;2,20594767;Sangue
RNU4-1;2,20594767;Sangue
ROR2;2,20594767;Sangue
SLC6A9;2,20594767;Sangue
SMPD4P1;2,20594767;Sangue
SNORA11;2,20594767;Sangue
SNX18P3;2,20594767;Sangue
SYN2;2,20594767;Sangue
TRBV7-4;2,20594767;Sangue
UBBP4;2,20594767;Sangue
WDR31;2,20594767;Sangue
ZYG11A;2,20594767;Sangue
AC009754.1;2,205528465;Sangue
AC017074.1;2,205528465;Sangue
AC025165.2;2,205528465;Sangue
AC060780.2;2,205528465;Sangue
AL390957.1;2,205528465;Sangue
AP001160.1;2,205528465;Sangue
DNAH10;2,205528465;Sangue
HS1BP3-IT1;2,205528465;Sangue
RPL23AP34;2,205528465;Sangue
SLC2A14;2,205528465;Sangue
AC113143.2;2,205437589;Sangue
AL139424.2;2,205437589;Sangue
AP001469.3;2,205437589;Sangue
COX20P1;2,205437589;Sangue
IL20RB;2,205437589;Sangue
NSMCE1-DT;2,205437589;Sangue
SULT1A3;2,205437589;Sangue
AC099343.3;2,205390114;Sangue
LINC01814;2,205330821;Sangue
UTS2B;2,205330821;Sangue
AL109809.4;2,205293443;Sangue
AC016586.1;2,20527692;Sangue
AP000763.3;2,205261413;Sangue
AC139530.3;2,205250752;Sangue
CC2D2A;2,205250752;Sangue
CXCL9;2,205250752;Sangue
U73166.1;2,205250752;Sangue
AC015912.3;2,205228032;Sangue
CACNA1D;2,205228032;Sangue
XAF1;2,205213751;Sangue
MIR3671;2,205186668;Sangue
AC021321.1;2,205182592;Sangue
AC035139.1;2,205182592;Sangue
ADAMDEC1;2,205182592;Sangue
AL133245.1;2,205182592;Sangue
AL162615.1;2,205182592;Sangue
CAP1P1;2,205182592;Sangue
CDK2AP2P2;2,205182592;Sangue
GALNT8;2,205182592;Sangue
RPS3AP43;2,205182592;Sangue
SPDYE16;2,205182592;Sangue
TCF7L1;2,205182592;Sangue
WWTR1;2,205182592;Sangue
RNF24;2,20511443;Sangue
IGKV1D-8;2,205084137;Sangue
IGLV2-5;2,205084137;Sangue
MIR3605;2,205084137;Sangue
ZNF20;2,205084137;Sangue
AC138969.1;2,20469042;Sangue
AC140847.2;2,20469042;Sangue
IGKV1D-12;2,20469042;Sangue
LINC01269;2,20469042;Sangue
RNU6-1152P;2,20469042;Sangue
RNU6-925P;2,20469042;Sangue
SNORA53;2,20469042;Sangue
TRAJ47;2,20469042;Sangue
HES4;2,200910535;Sangue
HIP1;2,200622526;Sangue
PI4KAP1;2,197835705;Sangue
CEP19;2,195552235;Sangue
GHRL;2,194916471;Sangue
PPP1R12B;2,194190565;Sangue
MMP9;2,192862935;Sangue
H4C8;2,190131663;Sangue
CA1;2,186170471;Sangue
H2BC5;2,180216432;Sangue
RN7SL1;2,179344746;Sangue
AC092910.3;2,177267359;Sangue
IGLV6-57;2,174902842;Sangue
AC007342.5;2,171063966;Sangue
LRRK2;2,169925001;Sangue
LINC02193;2,1646533;Sangue
AC083862.1;2,16462674;Sangue
REPS2;2,163521952;Sangue
AC008764.8;2,162204551;Sangue
MRPL20-DT;2,162204551;Sangue
ELOCP19;2,162147118;Sangue
AC004951.2;2,159444864;Sangue
AL117344.2;2,152860516;Sangue
EPSTI1;2,150535974;Sangue
LINC00173;2,147435136;Sangue
ZBP1;2,14710599;Sangue
ARHGEF2-AS2;2,145586836;Sangue
UCKL1-AS1;2,143823537;Sangue
SMCHD1;2,139930261;Sangue
DHRS9;2,139527267;Sangue
AL445524.1;2,138183968;Sangue
APOLD1;2,138183968;Sangue
NCF4;2,133416828;Sangue
AC011933.2;2,131386663;Sangue
PTGES;2,131232234;Sangue
DHX34;2,130988459;Sangue
RPGRIP1;2,12885816;Sangue
BEND7;2,12286245;Sangue
C1orf220;2,12286245;Sangue
AL669831.4;2,122722755;Sangue
ZDHHC19;2,122722755;Sangue
AC023157.2;2,118837997;Sangue
ALOX5AP;2,11855661;Sangue
AC091390.3;2,112136804;Sangue
AP001269.4;2,112136804;Sangue
ATP2A1;2,112136804;Sangue
